lat,lon,custo,nome
42.36413,-71.02991,125.0,HARBORSIDE-Walk to subway
42.32844,-71.09581,129.0,** Fort Hill Inn Private! Minutes to center!**
42.32802,-71.09387,168.0,"Fort Hill Inn *Sunny* 1 bedroom, condo duplex"
42.35867,-71.06307,140.0,Curved Glass Studio/1bd facing Park
42.35173,-71.08685,166.0,Bostons Best Rentals -Studio Prestigious Back Bay
42.35061,-71.08787,202.0,The Back Bay Nook  -Brownstone in Prestigious Area
42.36377,-71.05206,202.0,The Olive & Vine in The North End-Walk to MGH Tuft
42.32212,-71.06096,162.0,230B1 | The Dorset Redline | 3BR 1BA w/AC | Pvt
42.37754,-71.06642,323.0,Moroccan Decor Suite
42.31347,-71.11082,91.0,Private room & bath - Jamaica Plain
42.37424,-71.06081,176.0,Garden Studio
42.29871,-71.05954,59.0,Bright Furnished Room with Separate Entrance
42.32546,-71.08894,72.0,Room in geographical heart of Hub
42.35894,-71.0631,106.0,Bookcase 1bd facing Boston Common
42.37865,-71.06373,140.0,Waterfall Room: Bunker Hill B&B
42.29871,-71.05954,206.0,Private room in Victorian house
42.32806,-71.09423,225.0,Fort Hill Inn  2 bed Duplex ApT!  Location!
42.37823,-71.06778,206.0,City Oasis/sleeps 4 near historical sites
42.31331,-71.12061,62.0,"Great Boston neighborhood , Jamaica Plain"
42.31533,-71.11025,174.0,Serene Studio in a Perfect Location
42.29871,-71.05954,206.0,Large bedroom in Victorian House/Room D
42.31685,-71.10867,133.0,Treetop Haven in the City
42.36614,-71.05226,279.0,Private room off the Freedom Trail.
42.33255,-71.04125,322.0,BOSTON LUXURY FOR LESS!! NEAR BCEC
42.33583,-71.05271,270.0,Your cozy stay in South Boston
42.29871,-71.05954,245.0,"Beautiful Townhouse, 2 BR & 2 Bath"
42.29871,-71.05954,50.0,Cozy Room in Beautiful Victorian House /E
42.31658,-71.11012,76.0,"Sweet Little House in JP, Boston"
42.31062,-71.1176,206.0,"Private Floor, Private Bath, City Location"
42.34914,-71.06781,206.0,"Great location, sunny 1-bedroom!"
42.31368,-71.0612,206.0,14P | The Grand View | 5BR 2BA w/AC | House!
42.32212,-71.06096,123.0,230B4 | The Penthouse Redline | 2BR 1B w/AC | Pvt
42.32212,-71.06095,153.0,230B3  | The Mayhew Redline | 3BR 1B w/AC | Pvt
42.34096,-71.14647,206.0,"Boston Beauty, Walk to C and B line"
42.29061,-71.15293,194.0,145R1 | The Redlands 1 | 2BR 1BA w/AC | Private
42.29192,-71.15407,150.0,25A2 | The Alameda 2 | 2BR 1BA w/AC & WD | Private
42.37579,-71.04981,251.0,Houseboat in Boston Harbor
42.377338,-71.063095,175.0,Getaway in Historic Charlestown
42.37826919555664,-71.06332397460938,208.0,Boston / Charlestown Apartment
42.30833,-71.11456,621.0,Unique Find: At Home in the City!
42.30733,-71.11129,116.0,"Private room for 1 person, separate private bath"
42.28573,-71.12334,55.0,6 miles away from downtown Boston!
42.32795,-71.09412,141.0,Fort Hill Inn -Cool Space-BOSTON'S BEST-1 bedroom
42.3558,-71.06104,449.0,"Modern Loft, 1700 SqFt. Location!"
42.29038,-71.13919,420.0,"Perfect & Practical Boston Rental (1,500+ sqft)"
42.344162,-71.070381,206.0,South End | 2BR 2BA | Pet OK | Walk Everywhere!
42.29017,-71.13169,82.0,Private room in house
42.29175,-71.14096,136.0,Convenient Boston Hotel Alternative
42.35976409912109,-71.06116485595703,182.0,Best Location Luxury Beacon Hill North End Condo
42.34308,-71.07316,289.0,"The Dalton - The Upton Boston, South End"
42.36194,-71.06256,206.0,Spacious 1 bdrm in Beacon Hill
42.31653,-71.11049,158.0,Cozy JP Studio-Great Location!
42.34022,-71.075,206.0,"Studio Apt. for Rent in South End,"
42.34475,-71.08204,204.0,ExclusiveBackBayBostonCtr-EntireFloorBrick townhse
42.33395767211914,-71.10222625732422,135.0,Duplex Penthouse in Longwood Area
42.32004,-71.11185,442.0,4 bedroom Victorian Condo unit
42.36489,-71.05198,505.0,"North End 3BR Condo - Spacious, Central  Location"
42.27171,-71.16688,86.0,Comfy Home in Boston Suburbs
42.35977,-71.06774,206.0,Beacon Hill 1-Bed
42.34294,-71.07304,358.0,"The Washington - The Upton Boston, South End"
42.35714,-71.06968,340.0,Historic Beacon Hill
42.30907,-71.04674,206.0,2 bedroom 1st Floor Apartment in Savin Hill
42.3800475,-71.062315,65.0,Bright Sunlit bedroom near MGH labs/Downtown
42.30856,-71.04646,206.0,Andrea's Private Bath T Downtown
42.34873,-71.15693,128.0,Large Studio Apt w/ Full Kitchen & Bath + Parking!
42.34175,-71.08359,206.0,2 bed/2 bath in the heart of Boston
42.34988,-71.06918,206.0,4-story Central Luxury-two blocks to Boston Common
42.3256,-71.09413,56.0,"Fort Hill Top - 2Bk Private room,  brick townhouse"
42.33835,-71.0472,124.0,Large Private Bedroom & Bathroom by the Seaport
42.28132,-71.13377,206.0,Room in Rozzie-Twin Bed-Full Bath
42.349278,-71.087074,206.0,Charming 2 level Apartment
42.31293,-71.11527,214.0,Urban oasis trendy JP 'hood - suite
42.28639,-71.13199,112.0,Quiet Sunlit Attic Studio
42.28447,-71.13301,167.0,Charming sunlit house in Boston
42.29009,-71.05762,63.0,Private room/ MUST LOVE DOGS
42.28127,-71.13304,63.0,Room for 2 in Rozzie - Full Bath
42.34279,-71.0711,1250.0,3Bed/2.5Bath Luxury Triplex South End's Union Park
42.3569,-71.1624,118.0,Back Bay Elegance in Brighton
42.34981,-71.09476,258.0,"RIVERVIEWS-Walk Everywhere! Central, Safe LOCATION"
42.35985,-71.0717,206.0,Beautiful Penthouse in Beacon Hill
42.3079,-71.12378,206.0,"Beautiful 3 bd- 1.5 bath with parking, in Boston."
42.30593,-71.10733,120.0,One Private Bedroom in J.P.
42.3358,-71.04948,598.0,Spacious Updated 2 Bed Boston Condo w/ Deck
42.33375,-71.04767,187.0,Spacious Updated Boston Room/Condo
42.3504,-71.08891,206.0,Back Bay Studio
42.3559,-71.05998,206.0,Modern 2Bd1BA in Downtown Boston
42.34995,-71.13427,181.0,I bdrm in Boston/Allston/Brookline
42.342121,-71.075073,303.0,"The Clare - The Upton Boston, South End"
42.31146,-71.11947,180.0,Light-filled Private Suite on Beautiful Street
42.34391,-71.15628,75.0,Sunny 1 Bedroom
42.34568,-71.07169,206.0,* Brownstone Classic South End
42.35702,-71.06168,175.0,"Sunny Beacon Hill, corner unit top floor"
42.34309,-71.07316,269.0,"The Tremont - The Upton Boston, South End"
42.34272,-71.15672,77.0,Charming comfort 1 BR / Studio
42.35429,-71.13251,206.0,"Modern loft, walk to subway"
42.34492,-71.08482,280.0,Charlesview Suites Back Bay
42.34868,-71.07043,206.0,Lofty Modern 2BD Apt 800 sq ft
42.35902,-71.06296,150.0,Perfect Location to Explore Boston
42.38148,-71.06967,237.0,Beautiful 3 bedroom 2 bath apt in Charlestown
42.26043,-71.11766,206.0,BEAUTIFUL SINGLE FAMILY VICTORIAN in Hyde Park!
42.23533,-71.13256,125.0,2bd APT 20min from Downtown Boston
42.28814,-71.06889,51.0,2 Minutes Walk  to the Red Line!
42.28657,-71.13236,153.0,1bd Boston apt - convenient & quiet
42.31281,-71.06098,132.0,"Garden Suite near subway, beach"
42.32811,-71.09157,124.0,"AKBrownstone: custom-built, park garden view by T"
42.31907,-71.09252,118.0,Urban Travelers Modern Studio
42.35564,-71.15746,206.0,"Sunlit w/ huge kitchen, parking & easy to downtown"
42.351,-71.08899,206.0,4th of July Dream Spot!
42.35884,-71.06332,188.0,Luxury Beacon Hill Apartment 1-BR
42.29742,-71.157,206.0,"Beautiful, Quiet, and Safe!"
42.32213,-71.06094,159.0,230B2 | The Roseclair Redline | 3BR 1B w/AC | Pvt
42.35844,-71.06153,206.0,Beacon Hill!! Feet Fom State House
42.32843,-71.09369,177.0,"Modern, Spacious 1BR for 4 - Easy Marathon Access!"
42.31676,-71.08,38.0,Parking Close 2 Downtown Renovated
42.27242,-71.16573,149.0,Private Boston Antique Suite
42.31676,-71.08,35.0,Small Rm +walk-in closet Easy to Longwood/Downtown
42.35792,-71.06432,150.0,Beacon Hill Fabulous One Bedroom Apartment
42.31016,-71.10582,105.0,"Entire 2nd floor, skylight suite is all yours!"
42.38679,-71.00271,42.0,Minutes to Boston-Near Beach 69-1
42.28969,-71.13183,206.0,Sunny bedroom in large quiet house
42.33765,-71.07434,169.0,"Sensational South End - 2BR, no stairs"
42.31826,-71.09956,112.0,Sunlit room with private bath
42.36619,-71.05217,228.0,Spacious Apt In North End
42.31063344940129,-71.10855891982172,241.0,Airy new apt for 2-6. Near subway. Free parking.
42.35491,-71.07463,206.0,Back Bay Charmer
42.36618,-71.05217,206.0,Historic Brick Apt North End
42.28547,-71.06799,69.0,"Bright, cozy bedroom in Victorian"
42.31246,-71.10793,85.0,Quiet Artist's Retreat
42.34853,-71.09256,206.0,Two Bedroom Apartment in Kenmore Sq
42.32971,-71.0931,146.0,AKBrownstone: Master Suite park view by T
42.34128,-71.07607,175.0,Studio apart Tremont St South End #2
42.33678,-71.15237,206.0,Great location!
42.38831,-71.0044,99.0,ONE Room at East Boston Logan Airport
42.31128,-71.10981,206.0,Cozy Jamaica Plain Pad
42.34128,-71.07607,180.0,large & grand 2 bedroom South End by Copley Sq #3
42.34128,-71.07607,175.0,newly furn one bedroom by Copley #6
42.35309,-71.14822,194.0,"Grt Location, Big 3 Bed, Nr all Colleges, parking"
42.32942,-71.09149,100.0,AKBrownstone: modern treetop skyline view by T
42.36017,-71.06346,162.0,Perfectly Located Rental Near MGH & TD Garden #13
42.34441,-71.07633,142.0,South End Studio Perfect for Work Travel #36
42.34447,-71.07644,221.0,"Explore Newbury St, Fenway, and Chinatown Nearby,"
42.34982,-71.08264,221.0,Boston’s Top Location: Newbury Street – #1
42.32965,-71.0932,106.0,AKBrownstone: Loft rooftop views by T
42.32397,-71.09085,246.0,Fort Hill Inn Historic Beauty! Minutes to Center!
42.34301,-71.07304,175.0,"The Upton South End, The Copley Suite"
42.32967,-71.09328,154.0,AKBrownstone: cozy private studio by T
42.31676,-71.08,39.0,Parking EZ 2 Downtown/Longwood Larg
42.31676,-71.08,39.0,Parking Renovated Close to Downtown
42.3645578,-71.0692521,432.0,2 Bd/Bth Apt in Prime Location Gorgeous Water View
42.378693,-71.035088,231.0,Boston Rooftop Retreat-Airport & Train
42.34441,-71.07633,161.0,South End Studio Perfect for Work Travel #46
42.31676,-71.08,39.0,Parking Easy to downtown/Longwood
42.33245,-71.10642,206.0,GreenT&bus stops in front of door
42.34341,-71.15451,60.0,Charming studio
42.34765,-71.15509,326.0,Historic House modernized
42.2563,-71.12762,211.0,Charming Victorian Furnished Home
42.35914,-71.13348,206.0,Cozy Attic Bedroom in Allston
42.35111,-71.16529,58.0,Cosy Celtic Retreat
42.27667,-71.08169,206.0,One Sweet Place (A) managed by Andrea
42.35815,-71.07102,206.0,Romantic Beacon Hill Studio
42.32352198858505,-71.10688328334862,94.0,Studio w/ private entrance and bathroom
42.35779,-71.13347,206.0,Spacious Family-Friendly Townhome Near Harvard
42.31124,-71.06551,59.0,3rd floor room in Victorian House
42.31327,-71.10811,70.0,Quiet room - Great location!
42.33034,-71.05802,71.0,"Large room with view on Downtown, 27 Dexter Street"
42.34041,-71.08384,570.0,Stunning SouthEnd/BackBay Penthouse
42.30542,-71.10409,247.0,2 Bdrm Apt w/ tower in JP Victorian
42.34024,-71.07483,950.0,Beautiful Townhouse Boston's South End
42.31681,-71.08001,39.0,"Renovated, Quiet, Free Parking"
42.38704,-71.00581,62.0,Studio Condo by Airport and T Station
42.31163,-71.06351,126.0,Beautiful 3 bedroom Dorchester MA
42.28629,-71.13839,155.0,Quiet  Beauty in Boston
42.38455,-71.00217,206.0,City living near the beach!
42.31676,-71.08,39.0,Parking Renovated Close to Downtown
42.33211,-71.09842,336.0,*Fort Hill Inn: Penthouse Duplex* Close to Center
42.3285,-71.09608,162.0,"Fresh! City Loft Apartment,  Minutes to Center!"
42.34628,-71.08064,250.0,Private Entrance * King Beds * Parking * Kid Ready
42.34441,-71.07633,206.0,"Heart of South End, Convenient, Comfy Studio #42"
42.38118,-71.06073,625.0,Boston at your doorstep!
42.32448,-71.10664,206.0,Sunny Two-Bedroom in Boston
42.33509,-71.07847,100.0,Share South End Multi-level Loft/ with parking
42.34447,-71.07644,184.0,"Near Fenway Park, South End, and Newbury St #4"
42.34447,-71.07644,123.0,"Stay Close to Fenway, Tufts Medical Center & More"
42.35211,-71.13178,206.0,Large room located in Allston
42.33286,-71.04506,277.0,City sanctuary - garden terrace - ocean view
42.36726,-71.05424,330.0,"""La Gemma"" - a gem in the North End"
42.34306,-71.0872,206.0,Sunny 1BR for Summer
42.33284,-71.04685,206.0,Condo overlooking Boston Harbour
42.3605,-71.12633,71.0,The Nantucket Room near Harvard Square
42.28516,-71.13772,81.0,"2 rms, private bath, females or grandparents only"
42.35009,-71.07023,512.0,Great location! 3 BD single fam. Kid-friendly.
42.33034,-71.05802,206.0,"Large room, wood floor, 2 windows, 27 Dexter"
42.34459,-71.06999,206.0,South End Condo
42.3605,-71.12633,74.0,The Meditation Room near Harvard Square
42.32431720644971,-71.0586656980579,267.0,Close to it all-private parking & red MBTA station
42.32966,-71.09597,177.0,Fort Hill Inn- Cozy Studio ApT 1.5 miles to Center
42.2619,-71.11315,110.0,Hidden Gem in Boston: Long Term 1 Month + Only
42.35262,-71.07899,92.0,Small studio in GREAT location
42.31583,-71.11448,117.0,Pvt tree top suite in great location
42.28951,-71.15657,206.0,"Free parking, 1 private room, 1 queen Bed"
42.31584,-71.09932,263.0,"Family friendly Victorian home, walk to T"
42.29828,-71.11048,472.0,Spacious 5BR Condo w/parking near METRO
42.33034,-71.05802,64.0,"Large room, excellent access, 27 Dexter Street"
42.32932,-71.08925,177.0,Urban Oasis / Apartment perfect for work & create
42.28411,-71.11693,43.0,Cozy private room near bus stop
42.34118,-71.14678,171.0,"Cozy 1B, Green Line, Boston Coll, Elev, Roof Deck"
42.37639,-71.06389,206.0,Renovated Boston Apartment
42.34441,-71.07633,167.0,"Stylish Downtown Studio in the SouthEnd, C.Ave# 45"
42.34441,-71.07633,168.0,"Stylish Downtown Studio in the SouthEnd, C.Ave# 43"
42.34447,-71.07644,106.0,"Explore Newbury St, Fenway & South End Nearby #1"
42.34982,-71.08264,228.0,Iconic Newbury Street at Your Doorstep #10
42.34441,-71.07633,141.0,South End Studio Perfect for Work Travel #26
42.34441,-71.07633,107.0,Perfect Spot Near Boston's Cultural Hub #22
42.34447,-71.07644,184.0,"Minutes to Chinatown, Boston Common & Fenway Park"
42.31392,-71.06137,160.0,"Treetop+Balcony Suite, ocean view, safe, nr metro"
42.31676,-71.08,35.0,"Small room Easy to Downtown, Longwood Clean Sunny"
42.34441,-71.07633,133.0,Minutes from Boston Common & the Public Garden #23
42.31676,-71.08,39.0,Renovated Parking EZ to downtown
42.34512,-71.09479,139.0,A Fenway Getaway
42.34441,-71.07633,206.0,"Stylish Downtown Studio in the SouthEnd, C.Ave# 31"
42.34441,-71.07633,163.0,Explore Newbury Street Just Moments Away # 21
42.31927,-71.11325,206.0,"Beautiful Home in Jamaica Plain, MA"
42.34982,-71.08264,180.0,Live in the Heart of Newbury Street #3
42.34979,-71.08262,190.0,"Prime Newbury St Location, Walk Everywhere #4"
42.34982,-71.08264,220.0,"Newbury St Living –Trendy, Vibrant, Unbeatable!#12"
42.315,-71.0564,206.0,Spacious bedroom close to downtown
42.30849,-71.11721,259.0,"Exquisite Treetop Haven, JP Center, Driveway!"
42.32132,-71.10957,206.0,French Country 2bd/2bth Heart of JP
42.367,-71.05764,206.0,2 Bedroom in the heart of Boston
42.38239,-71.06393,170.0,Basement apartment in Charlestown
42.36478,-71.06122,206.0,North Station Luxury Apartment!
42.28249,-71.1146,43.0,Private Room near public transport
42.31676,-71.08,35.0,Easy to downtown/Longwood Free Parking Clean House
42.31676,-71.08,206.0,Cozy Rm Off-Street Parking EZ 2 downtown/Longwood
42.29325,-71.05707,206.0,M&R - Front Bedroom Bathroom Parking - Walk to T!
42.29348,-71.05569,101.0,M&R Quiet Back Room Parking Bathroom
42.34687,-71.09051,206.0,One Bedroom right by Fenway Park
42.31236,-71.08133,206.0,Charming urban studio
42.31572,-71.10847,135.0,Light and airy separate apt in funky Jamaica Plain
42.343,-71.14416,79.0,"Quiet, sunny studio, directly on the T"
42.36207,-71.06885,206.0,Beautiful Apartment in Beacon Hill
42.34532,-71.13829,427.0,"Spacious 3 bed, in unit laundry, central Air"
42.33053,-71.05388,175.0,Private apartment /parking/cozy garden.
42.38071,-71.07037,206.0,Private Bedroom
42.34447,-71.07644,244.0,"Near Boston Common, North End & Tufts Medical Cent"
42.34982,-71.08264,192.0,Unbeatable Location on Newbury Street #5
42.34982,-71.08264,218.0,Live in the Center of Newbury St Action! #11
42.34982,-71.08264,213.0,Perfectly Placed on Newbury Street #7
42.34982,-71.08264,181.0,Copley Square & Historic Landmarks on Newbury St#2
42.34982,-71.08264,218.0,"Vibrant, Chic Newbury St – Stay in Style! #6"
42.34982,-71.08264,221.0,Discover Boston from Newbury Street #8
42.34441,-71.07633,127.0,"Charming Studio in Boston Brownstone, #44"
42.35976,-71.13372,206.0,Sunny bedroom in Allston
42.28413,-71.11671,43.0,Private room near bus stop
42.35045,-71.09567,235.0,Safe Central City Location! WalkToWork/Everywhere!
42.34447,-71.07644,185.0,"Steps from South End, Tufts Medical Center & More,"
42.34447,-71.07644,123.0,"Walk to Chinatown, Boston Common, and South End"
42.36017,-71.06346,183.0,"Sleek Rental in Beacon Hill, Near TD Garden/MGH #6"
42.36017,-71.06346,161.0,"Beacon Hill Gem, Close to TD Garden & MGH – #14"
42.36017,-71.06346,172.0,Convenient Beacon Hill Location Near TD Garden #11
42.35623,-71.07023,850.0,Stunning Beacon Hill Boston Townhouse Apartment
42.36017,-71.06346,212.0,Prime Rental by MGH & TD Garden – Beacon Hill #3
42.34128,-71.07607,135.0,Great views from top floor #7
42.333,-71.03544,197.0,Spacious 3BR | 2.5 BA + Office Single-Family Home
42.32936,-71.09328,206.0,Modern Classic Boston Brownstone by LMA & T
42.36017,-71.06346,183.0,"Beacon Hill – Prime Location, Near MGH #9"
42.34218,-71.10698,206.0,"2BD, Steps to Hospitals, T&Colleges"
42.31247,-71.10808,280.0,Large Luxury Condo near Boston T
42.35642,-71.16411,99.0,Perfect for 1
42.34441,-71.07633,209.0,"Stylish Downtown Studio in the SouthEnd, C.Ave# 41"
42.34441,-71.07633,106.0,"Heart of South End, Convenient, Comfy Studio #32"
42.36017,-71.06346,183.0,Ideal Location Near TD Garden and MGH #2
42.36017,-71.06346,200.0,Close to TD Garden and MGH – Beacon Hill Living #8
42.36017,-71.06346,188.0,Bright Beacon Hill Rental Close to MGH/TD Garden#7
42.36017,-71.06346,163.0,"Beacon Hill – Prime Location, Near TD Garden #15"
42.36017,-71.06346,169.0,Perfect Beacon Hill Location – Near TD Garden #12
42.34203,-71.07256,206.0,Large bedroom in South End w/ Patio
42.24179,-71.12412,75.0,Morning Glory Bed & Breakfast!
42.31689,-71.1004,206.0,"Charming home Away from Home, close to parks"
42.36017,-71.06346,208.0,Beacon Hill Rental Steps to MGH & TD Garden – #1
42.35396,-71.06128,206.0,Studio apartment conveniently located in Downtown
42.34441,-71.07633,106.0,"Centrally located Studio in Boston ,#35"
42.357753697635744,-71.07018581917023,206.0,"Beacon Hill- 2br, 2 bath Personal Home"
42.32404,-71.05822,206.0,Andrew Sq Room Close to T&Shops
42.32601,-71.05969,206.0,A Very Large Room - Beige Room
42.3241,-71.05963,206.0,Andrew Sq - Quiet Yellow Room
42.3242,-71.05839,206.0,A Very Large Room- Great for Couple
42.36388,-71.05765,206.0,North End Studio
42.32554,-71.09757,206.0,Nice bedroom in a shared apt.
42.35308,-71.05804,206.0,One-Bed Condo (Downtown Boston)
42.34447,-71.07644,184.0,"Close to the North End, Fenway & Boston Common, #6"
42.33567,-71.05366,206.0,Updated South Boston Condo
42.30439,-71.11454,206.0,Friendly Resting Spot/Great Transit
42.34441,-71.07633,206.0,"Stylish Downtown Studio in the Boston, C.Ave# 34"
42.3547,-71.13722,206.0,Boston University Harvard MIT
42.36105,-71.06645,90.0,Gorgeous Beacon Hill Apartment
42.34441,-71.07633,107.0,Prime Location in Boston's South End #25
42.37594,-71.03634,206.0,Sunny Studio near Airport & Train station
