lat,lon,custo,nome
40.64529,-73.97238,285.0,Superfast Wi-Fi.  Clean & quiet home by the park
40.75356,-73.98559,240.0,Skylit Midtown Manhattan Spacious Studio
40.66265,-73.99454,215.0,Spacious Family Friendly Duplex w/ Patio + Yard
40.70935,-73.95342,97.0,Only 2 stops to Manhattan studio
40.80107,-73.94255,154.0,Uptown Sanctuary w/ Private Bath (Month to Month)
40.78778,-73.94759,63.0,UES Beautiful Blue Room
40.71248,-73.95881,154.0,"Amazing location! Wburg. Large, bright & tranquil"
40.69194,-73.97389,246.0,"Perfect for Your Parents, With Garden & Patio"
40.71880722045898,-73.9561767578125,160.0,Sunny Williamsburg Loft with Sauna
40.68455584344908,-73.93963415175676,170.0,"Maison des Sirenes1,bohemian, luminous apartment"
40.76724,-73.98664,175.0,Midtown Pied-a-terre
40.68294,-73.95682,90.0,Radiant Oasis  B&B Style room
40.63702,-73.96327,154.0,Country space in the city
40.72296,-73.98383,72.0,ENJOY Downtown NYC!
40.74757,-73.94571,225.0,"1 Stop to Midtown! Private Bedroom, Landmark House"
40.67946,-73.95417,153.0,Charming Brownstone 3 - Near PRATT
40.73535,-73.95584,115.0,Greenpoint Place...Has It All!
40.721359,-73.993668,230.0,* Lovely Nolita 1Bdrm w Elevator and 24hr Doorman*
40.71211,-73.96397,98.0,"Very, very cozy place"
40.74493,-73.99521,154.0,Sunny & Spacious Chelsea Apartment
40.72372723229208,-73.97625850509617,198.0,"Sunny, Modern room in East Village w City Views"
40.72281,-73.98501,169.0,Charming Room in Amazing East Village Apt. (B)
40.8019,-73.93762,300.0,SpaHa Loft: Enormous and Bright
40.72289,-73.98028,260.0,Lovely EV Artist's Home
40.76967,-73.94831,70.0,Manhattan Room
40.74261,-74.00353,150.0,Beautiful Meatpacking District Loft
40.73808,-73.98001,154.0,Cozy Studio in Great Location!
40.73917,-74.00207,256.0,One bedroom Duplex Private Terrace West Village
40.65437,-73.96278,94.0,"Sunny, Spacious Top Floor Haven"
40.71802,-73.95724,95.0,2 bedroom Williamsburg Apt - Bedford L stop
40.70967,-73.95922,154.0,Charming 1 bed GR8 WBurg LOCATION!
40.79936,-73.96155,84.0,Light-filled classic Central Park
40.82782,-73.9473,154.0,"Upper Manhattan, New York"
40.74187,-74.00223,85.0,COZY QUIET monthly room 4 DOOGLERS!
40.67747,-74.00146,196.0,@HouseOnHenrySt Private 1 bedroom with shared use
40.82825,-73.95138,200.0,Upper Upper West Side Garden Apartment Townhouse
40.67115,-73.98026,200.0,Beautiful 3 bedroom & 3 bathroom Duplex Apartment
40.71649,-73.94865,154.0,"Modern Brooklyn Apt., August sublet"
40.6686,-73.98723,81.0,Park Slope Green Guest House
40.72421,-73.98509,100.0,East Village Sanctuary
40.77827,-73.94669,154.0,Garden studio in the Upper East Sid
40.68288,-73.95646,154.0,Cozy Gorgeous Room
40.68292,-73.96381,143.0,"Comfortable, Sunny Room"
40.7672,-73.98464,250.0,Entire apartment _Most central location!
40.73405,-74.00281,154.0,Luminous Beautiful West Village Studio
40.6327,-73.93184,154.0,Sanctuary in East Flatbush
40.68818,-73.96383,120.0,Room with En Suite Bathroom & Deck
40.68513,-73.96648,154.0,Huge Private  Floor at The Waverly
40.71512,-73.95899,195.0,Retreat in Williamsburg
40.79245376586914,-73.94074249267578,154.0,"1 Bedroom & your own Bathroom, Elevator Apartment"
40.68442,-73.98068,769.0,Luxury Brownstone in Boerum Hill
40.8180576,-73.9466707,212.0,Spectacular West Harlem Garden Apt
40.71065139770508,-73.95087432861328,147.0,“Work-from-home” from OUR home.
40.74523,-73.92318,84.0,A lovely room w/ a Manhattan view
40.68216,-73.94594,154.0,"Private, Large & Sunny 1BR w/W&D"
40.71992,-73.99167,563.0,Beautiful Lower East Side Loft
40.67813,-74.00062,185.0,@HouseOnHenrySt - Private 2nd bedroom w/shared use
40.7449,-73.98499,170.0,Studio 3 blocks from Empire State Building
40.69287,-73.97108,110.0,BROOKLYN VICTORIAN STYLE SUITE.....
40.70894,-73.95234,80.0,Creative South Williamsburg Studio
40.82569,-73.93842,154.0,Clean and Cozy Harlem Apartment
40.70309,-73.89963,427.0,Beautiful Queens Brownstone! - 5BR
40.80635,-73.92201,60.0,Room in Beautiful Townhouse.
40.8063,-73.95985,68.0,Couldn't Be Closer To Columbia Uni
40.67979,-73.97978,154.0,Park Slope haven 15 mins from Soho
40.68009896425498,-73.9746189673198,85.0,Large Room pr/h Br/St in Park Slope
40.6829,-73.95701,108.0,Dreamy Loft Style w own bathroom
40.77449,-73.95308,154.0,1 Bedroom in 2 Bdrm Apt- Upper East
40.77868,-73.90652,170.0,"Private, sunny two-bedroom near subway & shops"
40.71567,-73.87842,117.0,cozy studio with parking spot
40.70422,-73.89778,223.0,Clean and convenient 2BR apartment
40.71778,-73.87714,298.0,3 floors of luxury!
40.80255,-73.95803,172.0,Beautiful Uptown Manhattan apartmnt
40.6789595110935,-73.97409474641334,95.0,S/Rm Br/st  PSlope great for  Med/Stu
40.81182,-73.94631,154.0,City Room - Private Penthouse Apt.
40.67144,-73.76501,154.0,(H) Great Deal/Pvt Rm
40.79934,-73.94236,125.0,Bedroom in my apartment with a private bathroom.
40.71065,-73.95087,154.0,Work From Our Home w/ Loft
40.68701,-73.97555,154.0,Cozy 2 br in sunny Fort Greene apt
40.81201,-73.94452,154.0,City Room - Private & Comfy Bedroom
40.772472,-73.906075,99.0,Elegant NYC Pad
40.69003,-73.99338,344.0,"Clean & cozy 1BR in Cobble Hill, GREAT location!"
40.76505,-73.98716,154.0,"Great new apt, close to everything"
40.80747,-73.94076,116.0,The Brownstone-Luxury 1 Bd Apt/NYC
40.8238,-73.94444,41.0,Traveling Nurses and Medical Professionals
40.71946,-73.98641,150.0,"Spacious 1BR, Adorable Clean Quiet"
40.73756,-73.9535,352.0,Loft Suite
40.73756,-73.9535,352.0,Loft Suite
40.73756,-73.9535,352.0,Loft Suite
40.73756,-73.9535,352.0,Loft Suite
40.73756,-73.9535,352.0,Loft Suite
40.73756,-73.9535,380.0,Duplex w/ Terrace @ Box House Hotel
40.73756,-73.9535,428.0,Loft w/ Terrace @ Box House Hotel
40.73756,-73.9535,319.0,1 Bedroom Apartment with Private Terrace
40.73756,-73.9535,238.0,Superior @ Box House
40.73756,-73.9535,589.0,2 BR Duplex @ Box House Hotel
40.71134819720268,-73.95338679325236,154.0,"Vegan Share in Huge, Gorgeous Prime Wburg!"
40.69101,-73.95018,214.0,Cozy Modern 2 Bedroom Apartment 20 min from City
40.72032,-73.99462,495.0,Stunning NYC Views! Free Gym! Doorman! Terrace!
40.68278,-73.95549,154.0,Sunny! 2br Steps to train/restaurants - 15 to NYC
40.74024,-74.00584,154.0,Spacious & Stylish Chelsea One Bedroom Apartment
40.74642,-74.00411,154.0,CHELSEA 1 Bdrm Plus Sleeping Loft!!
40.81847,-73.94623,154.0,Spacious room in beautiful apt!
40.71517,-73.99376,154.0,"Large, Art & Light Filled Apartment Downtown NYC"
40.71704,-74.00908,176.0,Tribeca Artist Loft 1000 sq/feet
40.70271,-73.8993,223.0,Convenient 3BR w/6 beds!!
40.7253,-73.98028,154.0,Sunny East Village Apartment with rooftop
40.73072,-73.99275,154.0,Spacious Greenwich Village Apt
40.792667388916016,-73.946533203125,125.0,SpaHa Studio Monthly Rental
40.81006,-73.94559,154.0,City Room - Private Luxury Suite
40.81562,-73.94674,154.0,Private Room/bath Luxurious Harlem
40.72598,-73.97978,150.0,"Bright, High Ceiling, Spacious & Cozy 1BR - Enjoy!"
40.79918,-73.96248,154.0,"Bright and spacious, garden below!"
40.80371,-73.95635,77.0,Great room in great location
40.72967,-73.95352,350.0,Beautiful Landmarked Duplex
40.81161,-73.85499,91.0,LL3
40.881,-73.83511,120.0,Dominique's mini guest suite w/private bath* Metro
40.68253,-73.94295,154.0,"Private, Large & Sunny Top Floor Apt  w/W&D"
40.72863,-73.9842,154.0,Prime East Village 1 Bedroom
40.67634,-73.95143,71.0,cozy bedroom in lovely garden apt
40.67579,-73.95072,65.0,Crown Heights Garden Apt.
40.7106,-73.95178,154.0,Farmhouse Apartment in Williamsburg
40.70797,-73.94792,154.0,Bright+Spacious Williamsburg Abode!
40.68028,-73.99328,171.0,CHARMING CARROLL GARDENS APT.
40.72547,-73.98619,349.0,East Village Loft with Piano & Patio
40.68088,-73.99102,209.0,"Lovely, Modern, Garden Apartment"
40.71516,-73.96448,207.0,Cozy Garden Apartment  in Williamsburg
40.76336,-73.92099,154.0,Room in the heart of Astoria
40.78846,-73.97459,189.0,Prewar Penthouse w Private Terrace
40.72,-73.99487,657.0,Top floor light filled loft on the Bowery
40.77845,-73.98295,128.0,"Nice renovated apt, prime location!"
40.72919,-73.95588,154.0,Gigantic Private Brooklyn Loft!
40.77743,-73.97691,154.0,1BR: See Central Park from Terrace!
40.77507,-73.93367,118.0,One Bedroom Mini studio - Free WIFI
40.72364,-73.95013,154.0,"Sunlit and Cozy Williamsburg/Greenpoint, Brooklyn"
40.71624,-73.994,120.0,Bright Cozy Chinatown Studio Apt.
40.695588790857855,-73.95461923691613,221.0,Modern Bed Stuy loft + rooftop garden
40.73777,-73.95366,238.0,Superior @ Box House
40.68337,-73.96253,355.0,3 Bdr/2ba Brownstone w/Garden. Stunning!
40.7226132,-73.9854593,63.0,Cozy room in East Village with AC
40.73756,-73.9535,380.0,Duplex w/ Terrace @ Box House Hotel
40.73777,-73.95366,428.0,Loft w/ Terrace @ Box House Hotel
40.73777,-73.95366,428.0,Loft w/ Terrace @ Box House Hotel
40.72408,-73.98154,151.0,"Charming Artist's Flat, East Village"
40.68433,-73.94469,174.0,BEAUTIFUL 2 BEDROOM APARTMENT
40.68769,-73.91788,56.0,Brooklyn Cove 1 Br Apt w/ Garden In Bushwick!!
40.69132,-73.98573,166.0,NY Mag & Budget Travel love us!
40.73777,-73.95366,238.0,Superior @ Box House
40.68513,-73.96648,800.0,The Brooklyn Waverly
40.71974,-73.98393,386.0,"Sunny, Authentic, Artsy, Downtown NYC East Village"
40.684569430603325,-73.93840021354636,165.0,"Maison de sirenes 2, bohemian, ecclectic apartment"
40.6736,-73.9551,150.0,"Beautiful, Bright’s, Warm & Spacious 1.5BR Apt"
40.68513,-73.96648,171.0,"The Brooklyn Waverly, One Bedroom"
40.75077,-73.99657,150.0,Groovy NYC Chelsea Pad
40.85433,-73.9324,62.0,"MANHATTAN Cozy, Neat, Nice, Bright ROOM"
40.66952,-73.99201,150.0,Large Modern Park Slope 1BR with Balcony
40.73694546011031,-73.99847316741945,154.0,Greenwich Village Brownstone -- Huge Private Deck
40.71116,-73.95484,154.0,Colorful Artistic Williamsburg Apt w/ 3 Bedrooms
40.73778,-73.95366,589.0,2 BR w/ Terrace @ Box House Hotel
40.693047,-73.971985,260.0,Clean&Serene in Scenic Fort Greene
40.58603,-73.8145,114.0,surf/stay regular
40.82772,-73.95284,89.0,Bright Room With A Great River View
40.68647,-73.95862,175.0,Tree lined block modern apartment
40.68615,-73.96769,176.0,Sunny Top Floor Fort Greene Two Bedroom
