lat,lon,custo,nome
-22.95221,-43.32944,2700.0,guilherme
-22.98767,-43.18991,837.0,OLIMPÍADAS 2016
-22.97333,-43.18857,800.0,Amplo Apto com 3 Dormitórios em Copacabana - 110m2
-22.96477,-43.17605,190.0,Studio in Copacabana Beach
-22.9682,-43.18523,220.0,Copacabana Ótima opção!
-22.91667891412377,-43.19228695068119,401.0,Casa da Santa - Recanto do sagüi
-22.98319,-43.1899,219.0,"CHARMOSO STUDIO COLADO NA PRAIA. POSTO 6. AR, WIFI"
-22.94274,-43.19016,399.0,"Quiet, bright and comfortable"
-22.98353,-43.19567,255.0,Great Location between Copacabana/Ipanema/Arpoador
-22.96419715881348,-43.18135070800781,1127.0,Rio de Janeiro Luxury - Beautiful Cozy Apartment
-22.98473,-43.19852,801.0,Ipanema flat. Luxury building
-22.91813,-43.24164,300.0,QUARTO - COPA DO MUNDO
-22.92245483398437,-43.17341613769531,100.0,Studio apartment in the heart of Rio de Janeiro
-22.98428,-43.21604,273.0,Charming apartment in Leblon
-22.95188,-43.18268,1067.0,Cobertura triplex com 3 suítes e visto do Cristo
-23.00902,-43.30797,2282.0,Apartment near Praia do Pepê
-22.96438,-43.17556,1080.0,Nice place at Copacabana Beach
-22.93233,-43.17946,330.0,Silent modern apartment in Zona Sul
-22.915081,-43.24098,420.0,Luxury Vila Isabel Near UERJ Pedro Ernesto Up to 7
-22.98144,-43.2212,2000.0,"Leblon top, pool, great view, neat"
-22.9832,-43.20042,1500.0,Moderno apt no coracao de Ipanema
-22.9664,-43.1761,185.0,COPACABANA BEACH
-22.96331,-43.17304,260.0,RIODEJANEIRO RJ COPACABANA ARTDECO
-22.98503,-43.19024,408.0,Lovely flat in Copacabana/Ipanema
-23.00475,-43.34805,538.0,SUITE WITH GORGEOUS VIEW ON THE BARRA
-23.00589,-43.3466,283.0,"QUARTO ACONCHEGANTE NA BARRA, RIO"
-22.97953,-43.20349,39600.0,Flat NO EXTRA taxes.
-22.98574,-43.20074,618.0,"Ocean view, 1 bed 2 baths,  American Style"
-22.98008,-43.19198,343.0,"Great Apartment in Copacabana Beach, Rio"
-22.97722,-43.19581,350.0,Cosy Apart Rio-frontier  Copacabana/Lagoa/Ipanema
-23.01306,-43.30227,1600.0,CHARMING PENTHOUSE IN BARRA
-22.91725,-43.19113,109.0,mini kitnete mobiliada privativa lapa santa teresa
-22.96647,-43.18663,136.0,One room with two single beds.
-22.96775,-43.2044,1200.0,Nice Lagoa Apartment  with beautiful view
-22.98425,-43.21614,550.0,wonderful view in Leblon
-22.98433,-43.1974,286.0,A VERY NICE AND CONFORTABLE STUDIO
-22.9841,-43.22019,385.0,"Great apartment & location, Smart TV, Leblon"
-22.91106,-43.24118,190.0,"Samba, suor e festa, Vagas próximo ao Maracanã"
-22.97725,-43.19249,750.0,Aluguel por temporada RJ
-22.90733,-43.24377,800.0,"Copa 2014 - Apart 1,5 km Maracanã"
-22.98291,-43.22652,1630.0,The Claridge Residence Service
-23.00609,-43.3216,1300.0,Residência c/ serviços de apto.
-23.00278,-43.37824,456.0,2 Bedroom Condo Mandala
-22.97514,-43.19073,1080.0,Apt inteiro enorme Copacabana aconchegante lindo
-22.9531,-43.19018,800.0,Charming apartment at Botafogo
-22.91236,-43.18198,300.0,APARTAMENTO LAPA - RIO DE JANEIRO
-22.91683,-43.22247,1800.0,"Casa confortável, 3 quadras do metrô."
-22.93404,-43.18527,528.0,Apartamento Larenjeiras Residence
-22.91886,-43.23741,400.0,Fique no coração do Maracanã!
-22.946,-43.1616,343.0,Beautiful Bedroom in Urca
-22.97738,-43.22863,6797.0,Amazing and perfect located RJ
-22.95887,-43.20638,790.0,silent apartment in Jardim Botânico
-22.92028,-43.17777,200.0,Beautiful Mini apartment in Glória
-22.97402,-43.38749,618.0,Wonderful two bedrooms - Bora Bora Resort
-22.95595,-43.19946,157.0,"Room with bathroom, Wi-Fi, and air conditioning."
-22.96946,-43.18493,343.0,Apartamento moderno em Copacabana
-22.964,-43.17177,428.0,Cozy place in Leme Beach
-22.97566,-43.19175,241.0,Copacabana Beach & Mountain View: Beach & Metro 5'
-22.88493,-43.28106,371.0,APARTAMENTO MOBILIADO  COPA 2014
-22.91117,-43.28086,130.0,Apartamento próximo ao Maracanã
-22.991218865480278,-43.2360471334783,360.0,Breathtaking Ocean View Loft
-22.98341,-43.20398,629.0,The CARIOCA NEW DESIGN
