minute,engajamento
2017-08-27 00:05:00,107
2017-08-27 00:06:00,235
2017-08-27 00:07:00,233
2017-08-27 00:08:00,254
2017-08-27 00:09:00,195
2017-08-27 00:10:00,187
2017-08-27 00:11:00,185
2017-08-27 00:12:00,159
2017-08-27 00:13:00,168
2017-08-27 00:14:00,194
2017-08-27 00:15:00,177
2017-08-27 00:16:00,178
2017-08-27 00:17:00,136
2017-08-27 00:18:00,181
2017-08-27 00:19:00,157
2017-08-27 00:20:00,160
2017-08-27 00:21:00,154
2017-08-27 00:22:00,157
2017-08-27 00:23:00,153
2017-08-27 00:24:00,169
2017-08-27 00:25:00,150
2017-08-27 00:26:00,149
2017-08-27 00:27:00,149
2017-08-27 00:28:00,163
2017-08-27 00:29:00,121
2017-08-27 00:30:00,144
2017-08-27 00:31:00,158
2017-08-27 00:32:00,145
2017-08-27 00:33:00,149
2017-08-27 00:34:00,160
2017-08-27 00:35:00,172
2017-08-27 00:36:00,179
2017-08-27 00:37:00,150
2017-08-27 00:38:00,143
2017-08-27 00:39:00,143
2017-08-27 00:40:00,156
2017-08-27 00:41:00,164
2017-08-27 00:42:00,160
2017-08-27 00:43:00,168
2017-08-27 00:44:00,166
2017-08-27 00:45:00,130
2017-08-27 00:46:00,159
2017-08-27 00:47:00,174
2017-08-27 00:48:00,180
2017-08-27 00:49:00,192
2017-08-27 00:50:00,186
2017-08-27 00:51:00,192
2017-08-27 00:52:00,232
2017-08-27 00:53:00,229
2017-08-27 00:54:00,243
2017-08-27 00:55:00,205
2017-08-27 00:56:00,210
2017-08-27 00:57:00,206
2017-08-27 00:58:00,194
2017-08-27 00:59:00,198
2017-08-27 01:00:00,195
2017-08-27 01:01:00,201
2017-08-27 01:02:00,208
2017-08-27 01:03:00,177
2017-08-27 01:04:00,188
2017-08-27 01:05:00,183
2017-08-27 01:06:00,178
2017-08-27 01:07:00,186
2017-08-27 01:08:00,161
2017-08-27 01:09:00,179
2017-08-27 01:10:00,164
2017-08-27 01:11:00,173
2017-08-27 01:12:00,54
2017-08-27 01:13:00,153
2017-08-27 01:14:00,160
