'Titulo','Direcao','Nota','Link','Ano','Categoria'
'O Poderoso Chefão','<built-in method strip of str object at 0x0000025269720430>','4.8','https://www.adorocinema.com/filmes/filme-1628/','24 de março de 1972','N/A'
'A Lista de Schindler','<built-in method strip of str object at 0x0000025269862330>','3.9','https://www.adorocinema.com/filmes/filme-9393/','31 de dezembro de 1993','N/A'
'Um Sonho de Liberdade','<built-in method strip of str object at 0x00000252699A3B30>','4.8','https://www.adorocinema.com/filmes/filme-11736/','25 de janeiro de 1995','N/A'
'Forrest Gump - O Contador de Histórias','<built-in method strip of str object at 0x0000025269AFA6F0>','4.7','https://www.adorocinema.com/filmes/filme-10568/','7 de dezembro de 1994','N/A'
'O Rei Leão','<built-in method strip of str object at 0x00000252693F1A10>','4.7','https://www.adorocinema.com/filmes/filme-10862/','8 de julho de 1994','N/A'
'À Espera de um Milagre','<built-in method strip of str object at 0x0000025269D941F0>','4.7','https://www.adorocinema.com/filmes/filme-22779/','10 de março de 2000','N/A'
'O Senhor dos Anéis - O Retorno do Rei','<built-in method strip of str object at 0x0000025269EDA270>','4.7','https://www.adorocinema.com/filmes/filme-39187/','25 de dezembro de 2003','N/A'
'Batman - O Cavaleiro Das Trevas','<built-in method strip of str object at 0x000002526A0372B0>','4.7','https://www.adorocinema.com/filmes/filme-115362/','18 de julho de 2008','N/A'
'Vingadores: Ultimato','<built-in method strip of str object at 0x00000252693F17D0>','3.9','https://www.adorocinema.com/filmes/filme-232669/','25 de abril de 2019','N/A'
'Vingadores: Guerra Infinita','<built-in method strip of str object at 0x00000252693F2E50>','3.6','https://www.adorocinema.com/filmes/filme-218265/','26 de abril de 2018','N/A'
'O Poderoso Chefão 2','<built-in method strip of str object at 0x000002526B5B50B0>','4.7','https://www.adorocinema.com/filmes/filme-28201/','20 de dezembro de 1974','N/A'
'O Auto da Compadecida','<built-in method strip of str object at 0x000002526B6F9CB0>','4.7','https://www.adorocinema.com/filmes/filme-120824/','10 de setembro de 2000','N/A'
'O Resgate do Soldado Ryan','<built-in method strip of str object at 0x000002526B83A870>','4.7','https://www.adorocinema.com/filmes/filme-18598/','11 de setembro de 1998','N/A'
'Viva - A Vida é uma Festa','<built-in method strip of str object at 0x000002526926FDF0>','3.7','https://www.adorocinema.com/filmes/filme-206775/','4 de janeiro de 2018','N/A'
'De Volta para o Futuro','<built-in method strip of str object at 0x0000025269736CB0>','4.7','https://www.adorocinema.com/filmes/filme-448/','25 de dezembro de 1985','N/A'
'Gladiador','<built-in method strip of str object at 0x0000025269930FB0>','4.7','https://www.adorocinema.com/filmes/filme-24944/','19 de maio de 2000','N/A'
'Django Livre','<built-in method strip of str object at 0x000002526BAC8BF0>','4.3','https://www.adorocinema.com/filmes/filme-190918/','18 de janeiro de 2013','N/A'
'O Silêncio dos Inocentes','<built-in method strip of str object at 0x000002526BB22D70>','4.6','https://www.adorocinema.com/filmes/filme-6641/','17 de maio de 1991','N/A'
'O Senhor dos Anéis - A Sociedade do Anel','<built-in method strip of str object at 0x000002526BC7CFF0>','4.6','https://www.adorocinema.com/filmes/filme-27070/','1 de janeiro de 2002','N/A'
'O Senhor dos Anéis - As Duas Torres','<built-in method strip of str object at 0x000002526BDC6F70>','4.6','https://www.adorocinema.com/filmes/filme-39186/','27 de dezembro de 2002','N/A'
'Intocáveis','<built-in method strip of str object at 0x00000252693F4290>','3.0','https://www.adorocinema.com/filmes/filme-182745/','31 de agosto de 2012','N/A'
'Interestelar','<built-in method strip of str object at 0x000002526C227D30>','3.8','https://www.adorocinema.com/filmes/filme-114782/','6 de novembro de 2014','N/A'
'Sempre ao Seu Lado','<built-in method strip of str object at 0x00000252573C6940>','4.6','https://www.adorocinema.com/filmes/filme-128959/','25 de dezembro de 2009','N/A'
